x, y, width, height, transcription
519, 822, 37, 13, NOME
331, 805, 232, 14, SECATTO BIADOLLA DOMICIANO
47, 910, 506, 22, REPÚBLICA FEDERATIVA DO BRASIL
158, 891, 286, 16, MINISTÉRIO DAS CIDADES
[525, 525, 77, 79], [888, 872, 875, 891], -1, -1, DEPARTAMENTO NACIONAL DE TRÂNSITO
[525, 523, 84, 86], [867, 850, 852, 872], -1, -1, CARTEIRA NACIONAL DE HABILITAÇÃO
260, 765, 68, 11, 972785711
137, 780, 184, 12, DOC. IDENTIDADE/ÓRG EMISSOR UF
153, 767, 24, 8, POF
60, 767, 23, 9, PA
194, 717, 137, 12, 860.858.119-18
300, 730, 22, 14, CPF
63, 716, 97, 13, 07/04/2006
53, 732, 98, 12, DATA NASCIMENTO
268, 687, 51, 14, FILIAÇÃO
142, 673, 186, 10, NUARA KOKAY DELBONI
150, 633, 178, 12, DURAZZO QUINTANA JOO
279, 615, 49, 10, JESUS
595, 493, 19, 157, 331489407
628, 496, 16, 183, O TERRITÓRIO NACIONAL
644, 523, 16, 129, VÁLIDA EM TODO
264, 568, 59, 14, PERMISSÃO
145, 568, 25, 12, ACC
51, 568, 45, 14, CAT. HAB.
73, 553, 8, 10, E
490, 513, 69, 14, Nº REGISTRO
424, 500, 107, 11, 65614444558
239, 497, 97, 15, 12/02/2010
290, 513, 50, 14, VALIDADE
85, 501, 96, 11, 08/08/1997
113, 513, 81, 15, 1ª HABILITAÇÃO
479, 447, 76, 15, OBSERVAÇÕES
550, 431, 13, 11, P;
296, 216, 136, 10, ASSINATURA DO PORTADOR
591, 22, 18, 149, 888633465
637, 29, 16, 175, PROIBIDO PLASTIFICAR
392, 163, 169, 12, UNIÃO DA SERRA-RS
511, 179, 39, 14, LOCAL
299, 95, 127, 11, ASSINATURA DO EMISSOR
202, 123, 118, 7, TURNIS HAAS CAVAL
98, 182, 73, 13, DATA EMISSÃO
57, 164, 107, 13, 23/03/1986
48, 117, 116, 17, 36904874585
51, 101, 117, 12, PI923717068
[471, 470, 100, 99], [82, 57, 57, 82], -1, -1, DETRAN - MG (MINAS GERAIS)
