x, y, width, height, transcription
[695, 695, 129, 129], [1076, 1052, 1055, 1076], -1, -1, REPÚBLICA FEDERATIVA DO BRASIL
[558, 557, 208, 208], [1048, 1030, 1033, 1054], -1, -1, MINISTÉRIO DAS CIDADES
[657, 657, 106, 106], [1026, 1009, 1012, 1034], -1, -1, DEPARTAMENTO NACIONAL DE TRÂNSITO
[655, 654, 115, 115], [1004, 985, 987, 1009], -1, -1, CARTEIRA NACIONAL DE HABILITAÇÃO
651, 955, 45, 13, NOME
517, 940, 188, 20, KLEDIR BARUH VICHIN
175, 907, 230, 14, DOC. IDENTIDADE/ÓRG EMISSOR UF
328, 892, 85, 11, 272269131
187, 893, 39, 10, SESP
86, 892, 18, 11, SC
377, 851, 29, 14, CPF
268, 836, 150, 13, 242.146.807-82
73, 854, 119, 13, DATA NASCIMENTO
107, 838, 96, 12, 16/06/2017
341, 798, 60, 17, FILIAÇÃO
206, 780, 205, 20, FUERTH IKEBARA MECCHI
369, 760, 44, 9, GOMES
232, 739, 178, 11, AZIZ ZANOTTI ABIBE
334, 661, 73, 13, PERMISSÃO
183, 661, 32, 14, ACC
68, 661, 58, 16, CAT. HAB.
102, 647, 10, 9, D
614, 596, 84, 15, Nº REGISTRO
546, 581, 118, 12, 95233058910
364, 595, 62, 15, VALIDADE
315, 581, 107, 14, 26/10/1959
145, 597, 100, 17, 1ª HABILITAÇÃO
124, 581, 106, 19, 23/05/1974
745, 562, 24, 191, 662918430
788, 570, 21, 214, O TERRITÓRIO NACIONAL
809, 600, 17, 148, VÁLIDA EM TODO
600, 516, 95, 19, OBSERVAÇÕES
376, 243, 167, 16, ASSINATURA DO PORTADOR
732, 19, 31, 200, 945776960
798, 26, 19, 205, PROIBIDO PLASTIFICAR
641, 208, 45, 15, LOCAL
583, 190, 118, 13, SÃO LUÍS-MA
126, 210, 92, 16, DATA EMISSÃO
94, 191, 116, 16, 25/03/1998
297, 152, 146, 10, HERON GRABOSCHI
96, 143, 123, 13, 21160019369
86, 120, 128, 13, SP198565522
379, 103, 158, 13, ASSINATURA DO EMISSOR
133, 59, 461, 30, ASSINATURA DO EMISSOR
