x, y, width, height, transcription
904, 114, 21, 506, REPÚBLICA FEDERATIVA DO BRASIL
885, 225, 17, 285, MINISTÉRIO DAS CIDADES
[880, 865, 868, 885, 881], [145, 145, 589, 588, 142], -1, -1, DEPARTAMENTO NACIONAL DE TRÂNSITO
[856, 843, 848, 867, 862], [145, 144, 585, 584, 145], -1, -1, CARTEIRA NACIONAL DE HABILITAÇÃO
815, 118, 13, 36, NOME
801, 109, 11, 240, TOMASEVICIUS ETO BRENE
771, 354, 14, 183, DOC. IDENTIDADE/ÓRG EMISSOR UF
757, 346, 11, 69, 361187117
758, 495, 9, 31, SPTC
759, 592, 7, 16, GO
725, 353, 13, 23, CPF
712, 340, 11, 123, 138.138.609-14
724, 524, 13, 97, DATA NASCIMENTO
710, 514, 12, 87, 01/01/1989
679, 356, 17, 50, FILIAÇÃO
665, 346, 11, 217, SAVICKI BRUZEGUEZ CALE
646, 346, 10, 99, NASCIMENTO
628, 346, 10, 159, PUJIZ MIETHKE VILLEN
476, 53, 166, 21, 658072355
488, 21, 185, 20, O TERRITÓRIO NACIONAL
513, 7, 133, 13, VÁLIDA EM TODO
560, 350, 14, 59, PERMISSÃO
560, 504, 13, 23, ACC
560, 578, 15, 44, CAT. HAB.
507, 114, 16, 69, Nº REGISTRO
493, 145, 12, 116, 32421375525
508, 332, 13, 51, VALIDADE
545, 344, 14, 106, PERMISSÃO
491, 335, 16, 127, 26/11/2003
506, 479, 15, 82, 1ª HABILITAÇÃO
492, 491, 13, 97, 07/01/2007
438, 117, 18, 78, OBSERVAÇÕES
210, 232, 12, 137, ASSINATURA DO PORTADOR
-1, 57, 156, 19, 833807404
23, 12, 176, 17, PROIBIDO PLASTIFICAR
175, 120, 12, 40, LOCAL
158, 110, 19, 78, SAIRÉ-PE
127, 249, 10, 115, CLERICI LUTTI
90, 240, 11, 127, ASSINATURA DO EMISSOR
176, 499, 14, 74, DATA EMISSÃO
158, 507, 18, 97, 13/01/1992
115, 505, 11, 106, 14164788446
97, 503, 11, 84, SC508438041
51, 194, 28, 370, DETRAN - MG (MINAS GERAIS)
547, 590, 7, 7, D
