x, y, width, height, transcription
156, 116, 46, 13, NOME
450, 169, 233, 16, DOC. IDENTIDADE/ÓRG EMISSOR UF
439, 189, 86, 11, 491910496
632, 190, 34, 12, SSP
755, 194, 19, 10, RO
450, 226, 29, 14, CPF
436, 243, 151, 13, 460.635.711-83
652, 246, 108, 14, 31/08/1966
664, 229, 123, 13, DATA NASCIMENTO
454, 276, 60, 17, FILIAÇÃO
439, 299, 196, 11, BILENKY MALKOV ORM
441, 321, 97, 11, RODRIGUES
438, 344, 231, 12, MARUCCI CLEIDE LETTIE
441, 366, 106, 12, DAS NEVES
74, 324, 24, 192, 419157927
35, 310, 20, 218, O TERRITÓRIO NACIONAL
15, 341, 20, 148, VÁLIDA EM TODO
445, 419, 74, 16, PERMISSÃO
148, 477, 87, 15, Nº REGISTRO
185, 494, 138, 14, 14604234787
423, 479, 63, 16, VALIDADE
422, 499, 108, 14, 03/05/1974
606, 480, 102, 18, 1ª HABILITAÇÃO
620, 499, 105, 15, 15/08/1991
638, 421, 32, 15, ACC
728, 422, 58, 14, CAT. HAB.
746, 443, 9, 11, B
150, 552, 97, 17, OBSERVAÇÕES
157, 865, 44, 17, LOCAL
15, 869, 20, 208, PROIBIDO PLASTIFICAR
71, 875, 24, 193, 390182096
139, 889, 191, 12, TOMAR DO GERU-SE
295, 844, 170, 14, ASSINATURA DO PORTADOR
438, 942, 127, 9, BELARMINO WILTON 
302, 986, 158, 13, ASSINATURA DO EMISSOR
241, 1015, 469, 32, DETRAN - MG (MINAS GERAIS)
626, 869, 96, 16, DATA EMISSÃO
637, 892, 105, 14, 25/04/2011
626, 942, 121, 14, 35613924917
629, 963, 140, 14, BA640408650
142, 572, 18, 14, A;
146, 133, 187, 10, KENITH SERGIO NEIRE
[152, 151, 788, 790], [16, 43, 48, 24], -1, -1, REPÚBLICA FEDERATIVA DO BRASIL
[291, 293, 650, 650], [46, 64, 70, 50], -1, -1, MINISTÉRIO DAS CIDADES
[190, 190, 747, 747], [68, 87, 91, 69], -1, -1, DEPARTAMENTO NACIONAL DE TRÂNSITO
[193, 192, 746, 746], [93, 109, 115, 92], -1, -1, CARTEIRA NACIONAL DE HABILITAÇÃO
