x, y, width, height, transcription
186, 490, 379, 21, MINISTÉRIO DAS CIDADES
654, 420, 49, 14, NOME
492, 406, 217, 12, MAAS NARGYLA GASPARI
167, 373, 239, 15, DOC. IDENTIDADE/ÓRG EMISSOR UF
318, 354, 95, 13, 789766097
192, 357, 30, 11, SES
84, 359, 18, 11, PE
373, 314, 35, 22, CPF
61, 321, 129, 16, DATA NASCIMENTO
92, 302, 107, 14, 11/12/2004
223, 298, 191, 17, 375.762.182-40
335, 265, 65, 17, FILIAÇÃO
194, 248, 217, 12, POLONIO HSU SCHEFFER
179, 202, 233, 13, TRENTINARO GUNTERT
348, 179, 64, 11, SANTOS
328, 124, 80, 15, PERMISSÃO
180, 126, 35, 13, ACC
64, 127, 57, 14, CAT. HAB.
98, 110, 10, 10, D
138, 62, 103, 18, 1ª HABILITAÇÃO
112, 46, 118, 15, 03/05/2006
361, 61, 67, 16, VALIDADE
319, 44, 106, 15, 28/02/2018
617, 58, 84, 15, Nº REGISTRO
542, 40, 128, 15, 46604734758
755, 32, 24, 192, 141665816
804, 50, 25, 165, VÁLIDA EM TODO
783, 21, 25, 231, O TERRITÓRIO NACIONAL
[693, 50, 49, 695], [533, 542, 514, 508], -1, -1, REPÚBLICA FEDERATIVA DO BRASIL
[656, 93, 93, 655], [486, 492, 470, 465], -1, -1, DEPARTAMENTO NACIONAL DE TRÂNSITO
[654, 97, 97, 656], [461, 468, 451, 442], -1, -1, CARTEIRA NACIONAL DE HABILITAÇÃO
